default,wiek,pensja,plec,stan_cywilny,wielkosc_miejscowosci,wyksztalcenie,czy_splacony
FALSE,32,4893.74,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,37,2446.56,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,29,4610.37,M,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,42,3341.62,K,singiel,do_50tys,wyzsze,czesciowo
FALSE,45,2934.24,M,singiel,do_50tys,srednie,czesciowo
FALSE,33,3259.35,M,singiel,do_200tys,srednie,czesciowo
FALSE,30,2650.64,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,38,3473.48,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,34,4410.71,K,singiel,do_1mln,wyzsze,czesciowo
FALSE,47,3578.44,K,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,35,3275.06,M,wdowiec,do_200tys,srednie,czesciowo
FALSE,38,2625.26,K,singiel,do_200tys,srednie,czesciowo
FALSE,35,2614.64,K,singiel,do_50tys,wyzsze,czesciowo
FALSE,31,2545.25,K,singiel,do_200tys,srednie,wcale
FALSE,36,2403.88,K,po_slubie,do_1mln,podstawowe,wcale
FALSE,26,3400.37,K,wdowiec,do_500tys,wyzsze,czesciowo
FALSE,42,3242.15,K,po_slubie,do_1mln,podstawowe,czesciowo
FALSE,36,2975.81,M,singiel,do_100tys,wyzsze,czesciowo
FALSE,46,3629.17,K,po_slubie,do_100tys,podstawowe,czesciowo
FALSE,37,2292.6,K,singiel,do_200tys,srednie,czesciowo
FALSE,31,3732.32,K,singiel,do_100tys,srednie,czesciowo
FALSE,38,3575.13,K,singiel,do_500tys,wyzsze,czesciowo
FALSE,30,2699.85,K,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,29,2465.39,M,singiel,do_1mln,srednie,czesciowo
TRUE,36,2529.08,M,po_slubie,do_1mln,wyzsze,wcale
FALSE,33,2464.8,M,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,35,3476.56,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,35,4071.15,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,32,3737.58,K,singiel,do_200tys,srednie,czesciowo
FALSE,32,3009.78,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,34,2506.74,M,po_slubie,do_100tys,srednie,czesciowo
FALSE,41,3486.99,K,singiel,do_500tys,wyzsze,wcale
FALSE,27,5358.5,K,singiel,do_1mln,srednie,czesciowo
FALSE,38,2518.81,M,po_slubie,do_200tys,wyzsze,czesciowo
TRUE,37,5198.18,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,40,3278.77,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,33,3350.47,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,37,2429.95,K,singiel,do_1mln,wyzsze,czesciowo
FALSE,36,2412.66,M,po_slubie,do_100tys,srednie,wcale
FALSE,32,2552.68,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,41,3954.17,K,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,41,2449.6,K,singiel,do_100tys,srednie,czesciowo
FALSE,39,3296.11,M,po_slubie,do_1mln,srednie,czesciowo
TRUE,43,2894.28,M,po_slubie,do_100tys,podstawowe,czesciowo
FALSE,38,3988.6,K,singiel,do_1mln,srednie,czesciowo
FALSE,29,2873.69,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,32,2302.01,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,29,2531.14,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,33,4230.65,M,po_slubie,do_100tys,wyzsze,wcale
FALSE,32,2339.48,M,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,35,3906.84,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,30,4035.63,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,36,2956.1,K,singiel,do_1mln,wyzsze,czesciowo
FALSE,32,4282.37,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,44,2606.35,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,39,2247.92,M,wdowiec,do_100tys,podstawowe,czesciowo
FALSE,40,5130.56,M,singiel,do_100tys,srednie,czesciowo
FALSE,37,3553.27,M,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,43,6410.74,K,singiel,do_50tys,srednie,czesciowo
FALSE,32,2376.52,M,po_slubie,do_100tys,podstawowe,czesciowo
FALSE,33,2482.78,M,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,42,2983.88,M,singiel,do_200tys,srednie,czesciowo
FALSE,32,2395.89,M,singiel,do_1mln,wyzsze,czesciowo
FALSE,34,3066.02,M,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,33,2444.12,M,po_slubie,do_1mln,srednie,wcale
FALSE,33,5316.43,M,wdowiec,do_100tys,wyzsze,czesciowo
TRUE,34,3039.35,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,37,2480.88,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,34,3499.96,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,32,2685.79,K,singiel,do_200tys,srednie,czesciowo
FALSE,42,3120.95,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,34,5670.39,K,po_slubie,do_200tys,srednie,wcale
FALSE,34,2321.27,M,singiel,do_1mln,podstawowe,czesciowo
FALSE,34,4451.9,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,39,3403.88,M,singiel,do_200tys,wyzsze,czesciowo
FALSE,35,2708.11,M,singiel,do_1mln,wyzsze,czesciowo
FALSE,35,3724.41,M,singiel,do_500tys,podstawowe,wcale
FALSE,32,3293.86,K,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,33,2631.23,M,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,35,2865.22,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,32,3142.19,M,po_slubie,do_100tys,srednie,wcale
FALSE,38,4779.27,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,27,2398,K,singiel,do_1mln,wyzsze,czesciowo
FALSE,37,3116.28,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,27,2406.32,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,33,2577.71,M,singiel,do_500tys,srednie,czesciowo
FALSE,32,2341.2,K,singiel,do_200tys,srednie,czesciowo
FALSE,32,2592.89,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,35,3162.46,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,25,2667.05,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,41,2532.45,K,singiel,do_500tys,podstawowe,czesciowo
FALSE,27,2357.76,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,33,3341.47,K,singiel,do_200tys,srednie,czesciowo
FALSE,29,6770.15,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,31,2903.4,M,singiel,do_50tys,srednie,wcale
FALSE,45,2439.96,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,35,2321.85,K,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,29,2680.83,K,singiel,do_500tys,wyzsze,czesciowo
FALSE,27,2217.06,K,po_slubie,do_200tys,podstawowe,czesciowo
FALSE,37,3891.43,K,singiel,do_500tys,srednie,czesciowo
FALSE,35,2278.05,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,33,3685.05,M,singiel,do_50tys,srednie,czesciowo
FALSE,30,2442.57,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,28,3253.54,M,po_slubie,do_100tys,podstawowe,czesciowo
FALSE,30,2513.09,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,40,2470.82,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,32,2622.69,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,28,5265.13,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,44,4411.01,K,singiel,do_500tys,srednie,czesciowo
FALSE,37,2692.25,K,singiel,do_500tys,wyzsze,czesciowo
FALSE,34,4157.52,K,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,40,3321.66,M,singiel,do_1mln,srednie,czesciowo
FALSE,39,2762.07,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,32,2648.31,M,singiel,do_200tys,podstawowe,czesciowo
FALSE,46,3036.88,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,34,4044.33,M,singiel,do_200tys,srednie,wcale
TRUE,28,3284.07,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,34,4515.92,K,singiel,do_50tys,podstawowe,czesciowo
FALSE,36,5421.03,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,47,2473.89,M,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,36,3791.68,K,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,37,2325.57,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,35,2269.78,M,singiel,do_1mln,srednie,czesciowo
FALSE,33,5887.93,K,po_slubie,do_50tys,srednie,wcale
FALSE,35,3084.89,K,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,39,2485.67,K,singiel,do_50tys,wyzsze,czesciowo
FALSE,45,3895.09,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,40,3065.27,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,41,2656.09,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,29,3069.59,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,40,3801.03,M,singiel,do_500tys,srednie,czesciowo
TRUE,36,5877.21,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,28,3769.73,K,singiel,do_1mln,srednie,wcale
FALSE,38,3979.82,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,34,2890.27,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,42,2457.97,M,po_slubie,do_1mln,srednie,wcale
FALSE,31,2939.03,M,singiel,do_500tys,wyzsze,czesciowo
FALSE,33,2828.16,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,30,2267.14,M,singiel,do_500tys,podstawowe,czesciowo
FALSE,34,3225.66,K,singiel,do_1mln,podstawowe,czesciowo
FALSE,37,3074.76,M,po_slubie,do_1mln,wyzsze,wcale
FALSE,31,2527.14,K,singiel,do_100tys,wyzsze,wcale
FALSE,39,3622.65,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,29,3361.07,K,po_slubie,do_200tys,podstawowe,czesciowo
FALSE,30,2200.08,M,singiel,do_200tys,srednie,czesciowo
FALSE,42,3129.97,K,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,30,3195.61,K,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,37,3798.09,M,po_slubie,do_100tys,srednie,czesciowo
FALSE,33,3065.77,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,37,2307.47,K,po_slubie,do_100tys,wyzsze,wcale
FALSE,43,2396.62,K,po_slubie,do_1mln,srednie,czesciowo
TRUE,43,2735.22,M,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,33,2330.29,M,singiel,do_500tys,srednie,czesciowo
FALSE,24,3939.13,M,singiel,do_200tys,wyzsze,czesciowo
TRUE,47,3781.62,K,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,38,2717.21,M,po_slubie,do_100tys,srednie,czesciowo
FALSE,38,3610.14,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,35,3242.3,K,po_slubie,do_1mln,wyzsze,czesciowo
TRUE,38,3254.16,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,34,2856.11,K,po_slubie,do_500tys,srednie,wcale
FALSE,37,2264.65,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,33,3593.09,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,28,2426.21,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,40,2761.95,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,43,2378.13,M,singiel,do_500tys,wyzsze,czesciowo
FALSE,33,2273.82,K,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,29,2790.97,M,singiel,do_1mln,podstawowe,czesciowo
FALSE,38,2609.66,M,singiel,do_50tys,srednie,czesciowo
FALSE,35,4197.28,M,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,26,2447.89,M,singiel,do_500tys,wyzsze,czesciowo
FALSE,35,2561.42,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,32,5919.35,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,33,2820.61,K,po_slubie,do_200tys,srednie,czesciowo
FALSE,29,2975.49,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,44,3517.76,K,po_slubie,do_1mln,srednie,czesciowo
TRUE,33,6574.79,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,27,2479.11,M,wdowiec,do_200tys,srednie,wcale
FALSE,36,2844.32,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,36,2776.17,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,30,3861.14,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,21,4730.21,K,singiel,do_50tys,srednie,czesciowo
FALSE,32,2848.13,M,singiel,do_100tys,wyzsze,czesciowo
FALSE,38,2494.64,M,po_slubie,do_1mln,wyzsze,wcale
FALSE,35,2397.86,K,wdowiec,do_200tys,srednie,wcale
FALSE,35,3848.07,K,singiel,do_500tys,srednie,wcale
FALSE,38,2955.79,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,29,3443.84,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,40,3413.65,M,singiel,do_500tys,srednie,czesciowo
TRUE,35,5915.67,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,39,2880.79,M,singiel,do_500tys,wyzsze,czesciowo
FALSE,40,3060.72,K,singiel,do_200tys,srednie,czesciowo
FALSE,36,2329.49,K,po_slubie,do_200tys,srednie,czesciowo
FALSE,31,3174.02,K,singiel,do_100tys,podstawowe,czesciowo
FALSE,41,2935.63,K,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,25,4632.14,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,32,2470.31,M,singiel,do_1mln,srednie,czesciowo
TRUE,34,8177.65,M,singiel,do_500tys,wyzsze,wcale
FALSE,34,2498.42,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,40,2322.14,K,po_slubie,do_1mln,podstawowe,czesciowo
FALSE,36,3161.65,M,singiel,do_1mln,srednie,czesciowo
FALSE,37,2444.01,M,singiel,do_200tys,srednie,czesciowo
FALSE,35,4052.79,M,po_slubie,do_100tys,srednie,czesciowo
FALSE,34,3264.19,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,38,2240.54,M,singiel,do_200tys,srednie,czesciowo
FALSE,41,2712.31,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,23,2574.82,K,singiel,do_200tys,wyzsze,czesciowo
FALSE,38,2570.73,K,singiel,do_100tys,srednie,czesciowo
FALSE,37,2312.48,M,singiel,do_200tys,podstawowe,czesciowo
FALSE,33,3923.57,M,po_slubie,do_1mln,podstawowe,czesciowo
FALSE,40,3685.64,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,33,8115.02,K,singiel,do_1mln,podstawowe,czesciowo
TRUE,34,3114.61,M,singiel,do_200tys,srednie,czesciowo
FALSE,39,3202.18,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,44,2800.42,M,singiel,do_500tys,wyzsze,czesciowo
FALSE,36,2973.92,M,singiel,do_500tys,srednie,czesciowo
FALSE,33,2659.45,M,singiel,do_50tys,podstawowe,czesciowo
FALSE,29,3745.83,K,po_slubie,do_200tys,podstawowe,czesciowo
FALSE,33,2672.34,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,30,2212.73,M,po_slubie,do_50tys,wyzsze,wcale
FALSE,34,3109.01,K,singiel,do_50tys,wyzsze,czesciowo
FALSE,37,3421.68,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,31,5882.53,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,48,5499.78,K,po_slubie,do_1mln,podstawowe,czesciowo
FALSE,36,4773.06,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,41,2315.29,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,24,2553.88,M,po_slubie,do_1mln,wyzsze,czesciowo
TRUE,39,2334.79,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,28,2391.81,M,wdowiec,do_200tys,wyzsze,czesciowo
FALSE,40,2898.82,K,po_slubie,do_1mln,wyzsze,wcale
FALSE,37,2414.53,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,33,2387.98,M,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,42,3329.88,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,31,2624.64,K,po_slubie,do_200tys,srednie,czesciowo
FALSE,32,2666.3,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,30,2612.18,K,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,32,4211.51,K,po_slubie,do_100tys,srednie,czesciowo
TRUE,40,2871.35,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,37,2521.57,K,po_slubie,do_200tys,podstawowe,czesciowo
FALSE,40,2831.3,M,singiel,do_50tys,srednie,czesciowo
FALSE,33,2292.95,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,37,2343.33,K,singiel,do_1mln,srednie,czesciowo
FALSE,36,5103.21,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,28,3007.31,K,po_slubie,do_1mln,srednie,czesciowo
TRUE,44,3281.78,M,singiel,do_200tys,wyzsze,czesciowo
FALSE,36,2990.36,M,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,39,2457.38,M,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,40,2276.25,M,po_slubie,do_100tys,srednie,wcale
FALSE,35,2578.25,M,singiel,do_1mln,wyzsze,wcale
FALSE,33,2421.55,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,39,2429.8,M,po_slubie,do_50tys,podstawowe,czesciowo
FALSE,30,2682.96,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,45,3505.23,M,po_slubie,do_100tys,podstawowe,czesciowo
FALSE,33,3476.73,K,singiel,do_1mln,srednie,czesciowo
FALSE,43,4870.99,M,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,43,4367.62,M,singiel,do_500tys,srednie,czesciowo
FALSE,35,2360.31,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,38,2406.42,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,30,4893.91,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,37,3489.56,M,singiel,do_1mln,wyzsze,czesciowo
FALSE,40,3130.2,K,po_slubie,do_500tys,srednie,czesciowo
FALSE,35,3384.31,K,po_slubie,do_200tys,srednie,czesciowo
FALSE,33,2614.98,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,32,2293.23,K,singiel,do_50tys,podstawowe,czesciowo
FALSE,35,2699.21,M,singiel,do_50tys,srednie,czesciowo
FALSE,40,2668.24,K,po_slubie,do_500tys,podstawowe,czesciowo
FALSE,33,4078.56,M,singiel,do_100tys,wyzsze,czesciowo
TRUE,34,3051.13,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,29,2781.19,K,singiel,do_100tys,srednie,czesciowo
FALSE,37,4382.6,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,42,2434.85,K,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,42,3561.58,K,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,39,2849.41,M,singiel,do_100tys,wyzsze,czesciowo
FALSE,26,2711.94,M,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,37,5679.12,M,po_slubie,do_100tys,srednie,czesciowo
FALSE,37,2340.34,M,singiel,do_50tys,wyzsze,czesciowo
FALSE,33,2340.32,K,singiel,do_1mln,podstawowe,czesciowo
FALSE,36,2474.4,M,po_slubie,do_100tys,wyzsze,czesciowo
FALSE,31,3471.39,K,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,38,5185.05,M,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,33,2221.5,M,po_slubie,do_50tys,srednie,czesciowo
FALSE,27,2412.57,M,singiel,do_1mln,wyzsze,czesciowo
FALSE,33,3322.22,M,po_slubie,do_500tys,wyzsze,czesciowo
TRUE,42,2940.62,K,singiel,do_200tys,wyzsze,czesciowo
FALSE,33,3199.1,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,39,3024.13,M,po_slubie,do_500tys,srednie,wcale
FALSE,40,3125.3,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,35,3686.1,M,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,33,3062.62,K,wdowiec,do_500tys,srednie,czesciowo
FALSE,32,2586.03,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,39,4688.02,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,30,6301.55,M,po_slubie,do_50tys,srednie,czesciowo
TRUE,36,3595.5,K,singiel,do_500tys,wyzsze,czesciowo
FALSE,34,2884.37,K,singiel,do_1mln,wyzsze,czesciowo
FALSE,24,2207.35,K,po_slubie,do_50tys,srednie,czesciowo
FALSE,28,2427.63,M,wdowiec,do_1mln,wyzsze,czesciowo
FALSE,40,3305.07,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,34,2695.82,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,39,2609.57,K,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,44,5209.17,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,42,3135.34,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,38,2548.93,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,37,3545.1,K,po_slubie,do_200tys,srednie,czesciowo
FALSE,34,4250.39,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,43,2610.6,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,38,2899.56,M,singiel,do_200tys,podstawowe,czesciowo
FALSE,29,2353.64,K,po_slubie,do_1mln,srednie,czesciowo
FALSE,34,3099.83,M,singiel,do_50tys,srednie,czesciowo
FALSE,25,2408.61,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,34,2726.36,M,po_slubie,do_100tys,podstawowe,czesciowo
FALSE,22,3348.83,M,po_slubie,do_200tys,srednie,czesciowo
FALSE,42,4698.23,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,32,2249.79,M,singiel,do_1mln,srednie,czesciowo
FALSE,33,2520.3,K,po_slubie,do_1mln,srednie,wcale
TRUE,34,2402.21,K,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,38,3662.92,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,38,3932.12,K,po_slubie,do_500tys,wyzsze,czesciowo
FALSE,38,3405.16,M,singiel,do_200tys,podstawowe,czesciowo
FALSE,32,2473.55,K,po_slubie,do_100tys,srednie,czesciowo
FALSE,28,2574.73,K,singiel,do_1mln,srednie,czesciowo
FALSE,33,2421.08,M,singiel,do_50tys,wyzsze,czesciowo
FALSE,36,2806.3,K,singiel,do_1mln,srednie,wcale
FALSE,31,4972.87,K,singiel,do_500tys,wyzsze,czesciowo
FALSE,35,2827.15,M,po_slubie,do_500tys,srednie,czesciowo
FALSE,29,2891.77,K,singiel,do_1mln,podstawowe,czesciowo
FALSE,35,3023.44,M,po_slubie,do_1mln,srednie,czesciowo
FALSE,36,2607.95,M,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,34,2437.26,M,po_slubie,do_1mln,wyzsze,czesciowo
FALSE,34,3603.56,M,po_slubie,do_50tys,srednie,wcale
FALSE,44,4345.72,K,po_slubie,do_200tys,wyzsze,czesciowo
FALSE,39,2903.18,K,po_slubie,do_200tys,podstawowe,czesciowo
FALSE,41,3887.93,K,po_slubie,do_50tys,wyzsze,czesciowo
FALSE,30,3183.35,M,singiel,do_200tys,wyzsze,czesciowo
FALSE,36,2612.67,M,po_slubie,do_500tys,srednie,czesciowo
TRUE,41,2938.17,K,singiel,do_200tys,srednie,czesciowo
